beta0,p,delta_s8,delta_xi_plus,cancel_residual
0.27499999999999997,1.0,0.0015385971708032908,0.0030771943416065817,0.012938597170803291
0.27499999999999997,1.5,0.0011116593885127646,0.002223318777025529,0.012511659388512765
0.27499999999999997,2.0,0.0008328932034087355,0.001665786406817471,0.012232893203408736
0.3,-2.0,0.06365267003219177,0.12730534006438354,0.07505267003219177
0.3,-1.5,0.024926000330974363,0.049852000661948725,0.03632600033097436
0.3,-1.0,0.012060200921559572,0.024120401843119144,0.023460200921559572
0.3,-0.5,0.0066697775884185795,0.013339555176837159,0.01806977758841858
0.3,0.0,0.004056465752432015,0.00811293150486403,0.015456465752432015
0.3,0.5,0.0026503332189606876,0.005300666437921375,0.014050333218960688
0.3,1.0,0.0018312135106826055,0.003662427021365211,0.013231213510682606
0.3,1.5,0.0013230482904731389,0.0026460965809462778,0.01272304829047314
0.3,2.0,0.000991255768549859,0.001982511537099718,0.01239125576854986
