L,C_L_LCDM_arb,ratio_SQT_central,N_L_S4
395,1.7346139541989546e-08,1.0229299600000001,4.1484151844231064e-09
396,1.7313403938912785e-08,1.0229299600000001,4.14992384e-09
397,1.7280829517579237e-08,1.0229299600000001,4.151443968181679e-09
398,1.724841506451832e-08,1.0229299600000001,4.152975626983692e-09
399,1.721615937842795e-08,1.0229299600000001,4.1545188745679014e-09
400,1.7184061270022424e-08,1.0229299600000001,4.156073769242494e-09
401,1.7152119561882593e-08,1.0229299600000001,4.157640369461972e-09
402,1.7120333088308274e-08,1.0229299600000001,4.159218733827161e-09
403,1.708870069517284e-08,1.0229299600000001,4.1608089210852006e-09
404,1.7057221239779992e-08,1.0229299600000001,4.162410990129554e-09
405,1.702589359072263e-08,1.0229299600000001,4.164025e-09
406,1.6994716627743823e-08,1.0229299600000001,4.1656510098826406e-09
407,1.6963689241599835e-08,1.0229299600000001,4.1672890791098925e-09
408,1.6932810333925153e-08,1.0229299600000001,4.168939267160494e-09
409,1.6902078817099498e-08,1.0229299600000001,4.170601633659503e-09
410,1.6871493614116775e-08,1.0229299600000001,4.1722762383782965e-09
411,1.6841053658455956e-08,1.0229299600000001,4.173963141234568e-09
412,1.6810757893953837e-08,1.0229299600000001,4.175662402292334e-09
413,1.6780605274679622e-08,1.0229299600000001,4.1773740817619265e-09
414,1.6750594764811352e-08,1.0229299600000001,4.179098240000001e-09
415,1.6720725338514093e-08,1.0229299600000001,4.180834937509526e-09
416,1.6690995979819935e-08,1.0229299600000001,4.182584234939796e-09
417,1.666140568250964e-08,1.0229299600000001,4.1843461930864194e-09
418,1.6631953449996038e-08,1.0229299600000001,4.186120872891328e-09
419,1.6602638295209104e-08,1.0229299600000001,4.187908335442768e-09
420,1.6573459240482636e-08,1.0229299600000001,4.1897086419753095e-09
421,1.6544415317442573e-08,1.0229299600000001,4.191521853869837e-09
422,1.6515505566896902e-08,1.0229299600000001,4.193348032653559e-09
423,1.648672903872711e-08,1.0229299600000001,4.19518724e-09
424,1.64580847917812e-08,1.0229299600000001,4.197039537729005e-09
425,1.6429571893768183e-08,1.0229299600000001,4.198904987806737e-09
426,1.640118942115408e-08,1.0229299600000001,4.2007836523456795e-09
427,1.6372936459059382e-08,1.0229299600000001,4.202675593604634e-09
428,1.6344812101157934e-08,1.0229299600000001,4.2045808739887215e-09
429,1.6316815449577256e-08,1.0229299600000001,4.206499556049383e-09
430,1.628894561480024e-08,1.0229299600000001,4.208431702484377e-09
431,1.6261201715568203e-08,1.0229299600000001,4.210377376137784e-09
432,1.6233582878785325e-08,1.0229299600000001,4.212336640000001e-09
433,1.6206088239424366e-08,1.0229299600000001,4.214309557207743e-09
434,1.617871694043372e-08,1.0229299600000001,4.216296191044048e-09
435,1.6151468132645724e-08,1.0229299600000001,4.218296604938272e-09
436,1.612434097468627e-08,1.0229299600000001,4.220310862466088e-09
437,1.609733463288561e-08,1.0229299600000001,4.22233902734949e-09
438,1.607044828119041e-08,1.0229299600000001,4.224381163456791e-09
439,1.6043681101077e-08,1.0229299600000001,4.226437334802622e-09
440,1.6017032281465807e-08,1.0229299600000001,4.2285076055479355e-09
441,1.599050101863696e-08,1.0229299600000001,4.230592040000001e-09
442,1.5964086516147015e-08,1.0229299600000001,4.232690702612406e-09
