# log10_L[m]	log10_tau_q[s]
6.791318864774623876e+00	1.651807189293588962e+01
6.861435726210348918e+00	1.651808158194458187e+01
6.931552587646077512e+00	1.651809000319335041e+01
7.001669449081802554e+00	1.651809732256012708e+01
7.071786310517527596e+00	1.651810368421837083e+01
7.141903171953256191e+00	1.651810921347678729e+01
7.212020033388981233e+00	1.651811401924755884e+01
7.282136894824706275e+00	1.651811819619157973e+01
7.352253756260434869e+00	1.651812182658290240e+01
7.422370617696159911e+00	1.651812498192929368e+01
7.492487479131884953e+00	1.651812772438057664e+01
7.562604340567613548e+00	1.651813010795267900e+01
7.632721202003338590e+00	1.651813217959144708e+01
7.702838063439063632e+00	1.651813398009709388e+01
7.772954924874792226e+00	1.651813554492757063e+01
7.843071786310517268e+00	1.651813690489663244e+01
7.913188647746242310e+00	1.651813808678035400e+01
7.983305509181970905e+00	1.651813911384401123e+01
8.053422370617695947e+00	1.651814000629962820e+01
8.123539232053420989e+00	1.651814078170334454e+01
8.193656093489146031e+00	1.651814145530016376e+01
8.263772954924874625e+00	1.651814204032307387e+01
8.333889816360599667e+00	1.651814254825219663e+01
8.404006677796324709e+00	1.651814298903913425e+01
8.474123539232053304e+00	1.651814337130081611e+01
8.544240400667778346e+00	1.651814370248665398e+01
8.614357262103503388e+00	1.651814398902208936e+01
8.684474123539231982e+00	1.651814423643142504e+01
8.754590984974957024e+00	1.651814444944209725e+01
8.824707846410682066e+00	1.651814463207237793e+01
8.894824707846410661e+00	1.651814478770409167e+01
8.964941569282135703e+00	1.651814491914150906e+01
9.035058430717860745e+00	1.651814502865744316e+01
9.105175292153589339e+00	1.651814511802719210e+01
9.175292153589314381e+00	1.651814518855062985e+01
9.245409015025039423e+00	1.651814524106267257e+01
9.315525876460768018e+00	1.651814527593186099e+01
9.385642737896493060e+00	1.651814529304662571e+01
9.455759599332218102e+00	1.651814529178843216e+01
9.525876460767946696e+00	1.651814527099086405e+01
9.595993322203671738e+00	1.651814522888300019e+01
9.666110183639396780e+00	1.651814516301543279e+01
9.736227045075125375e+00	1.651814507016670674e+01
9.806343906510850417e+00	1.651814494622729868e+01
9.876460767946575459e+00	1.651814478605808034e+01
9.946577629382304053e+00	1.651814458331942959e+01
1.001669449081802910e+01	1.651814433026637730e+01
1.008681135225375414e+01	1.651814401750464967e+01
1.015692821368948273e+01	1.651814363370158745e+01
1.022704507512520777e+01	1.651814316524467685e+01
1.029716193656093282e+01	1.651814259583990463e+01
1.036727879799666141e+01	1.651814190604034494e+01
1.043739565943238645e+01	1.651814107269446907e+01
1.050751252086811149e+01	1.651814006830198522e+01
1.057762938230384009e+01	1.651813886026327793e+01
1.064774624373956513e+01	1.651813741000681546e+01
1.071786310517529017e+01	1.651813567197647714e+01
1.078797996661101877e+01	1.651813359245886303e+01
1.085809682804674381e+01	1.651813110822758190e+01
1.092821368948246885e+01	1.651812814497913351e+01
1.099833055091819745e+01	1.651812461553145539e+01
1.106844741235392249e+01	1.651812041775316686e+01
1.113856427378964753e+01	1.651811543218743950e+01
1.120868113522537612e+01	1.651810951933063620e+01
1.127879799666110117e+01	1.651810251652119987e+01
1.134891485809682621e+01	1.651809423438973212e+01
1.141903171953255480e+01	1.651808445281572801e+01
1.148914858096827984e+01	1.651807291633122787e+01
1.155926544240400489e+01	1.651805932890556505e+01
1.162938230383973348e+01	1.651804334803916774e+01
1.169949916527545852e+01	1.651802457808769375e+01
1.176961602671118357e+01	1.651800256273101652e+01
1.183973288814691216e+01	1.651797677649392782e+01
1.190984974958263720e+01	1.651794661521840268e+01
1.197996661101836224e+01	1.651791138537894099e+01
1.205008347245409084e+01	1.651787029212496805e+01
1.212020033388981588e+01	1.651782242592604888e+01
1.219031719532554092e+01	1.651776674768765218e+01
1.226043405676126952e+01	1.651770207219721343e+01
1.233055091819699456e+01	1.651762704975251239e+01
1.240066777963271960e+01	1.651754014581701213e+01
1.247078464106844820e+01	1.651743961853968301e+01
1.254090150250417324e+01	1.651732349397092392e+01
1.261101836393989828e+01	1.651718953880047991e+01
1.268113522537562687e+01	1.651703523043908106e+01
1.275125208681135192e+01	1.651685772426270304e+01
1.282136894824707696e+01	1.651665381783649522e+01
1.289148580968280200e+01	1.651641991193639214e+01
1.296160267111853059e+01	1.651615196818847053e+01
1.303171953255425564e+01	1.651584546315143598e+01
1.310183639398998068e+01	1.651549533867534691e+01
1.317195325542570927e+01	1.651509594838043071e+01
1.324207011686143431e+01	1.651464100011429537e+01
1.331218697829715936e+01	1.651412349426395210e+01
1.338230383973288795e+01	1.651353565782141786e+01
1.345242070116861299e+01	1.651286887412830851e+01
1.352253756260433804e+01	1.651211360825660890e+01
1.359265442404006663e+01	1.651125932801951279e+01
1.366277128547579167e+01	1.651029442064852759e+01
1.373288814691151671e+01	1.650920610522075194e+01
1.380300500834724531e+01	1.650798034097430289e+01
1.387312186978297035e+01	1.650660173170954081e+01
1.394323873121869539e+01	1.650505342653989160e+01
1.401335559265442399e+01	1.650331701732823575e+01
1.408347245409014903e+01	1.650137243322316394e+01
1.415358931552587407e+01	1.649919783279375807e+01
1.422370617696160267e+01	1.649676949435145801e+01
1.429382303839732771e+01	1.649406170514300030e+01
1.436393989983305275e+01	1.649104665019862281e+01
1.443405676126878134e+01	1.648769430172387729e+01
